# schema	kj.music.inventory/1
# root	J:\jubilujah.com\music\children\party-giggles
# albums	30
# tracks	379
# bytes	1406776400
# albums_with_duplicate_track_numbers	2
# duplicate	IX429EN-fireflies-flourish-bright	1,2,3,4,5,6,7,8,9,10,11,12
# duplicate	IX430EN-nala-the-donkey	4,5,6,8,9
album	track	file	bytes	sha256
IX406EN-tiki-s-pirate-fiesta	2	02_dance-party-in-the-rain.mp3	4135641	1bef5e1454f0f4f7a80a554706ea829aaa84fa31bc4ca8887db9ab2ec35bb757
IX406EN-tiki-s-pirate-fiesta	3	03_rain-blessings-from-the-throne.mp3	4934831	510f11b72b15d74eb2cc7ada8e25b2d1f62b61b0af1d5a6e5231261de9c47179
IX406EN-tiki-s-pirate-fiesta	4	04_showers-of-yes.mp3	5038913	69ee401aad44f47e420764206e31068e07b29e2292b87446f3157f5ff56894a9
IX406EN-tiki-s-pirate-fiesta	5	05_gods-blessings-are-chasing-me.mp3	4320887	779b3a80721dec06d550151a1dc4ac7e133470f43097abd490a25d2a997e19ff
IX406EN-tiki-s-pirate-fiesta	6	06_heavens-blessings-are-direct-deposit.mp3	3450277	cb63d051fe278935f25cf407c0c70077aa24be8a36a5e29abdb239c5fd686a6b
IX406EN-tiki-s-pirate-fiesta	7	07_i-got-heavens-credit-card.mp3	3552471	e91360362fea6ab33dace95489e9559144115b14055e68365ed360416c046f83
IX406EN-tiki-s-pirate-fiesta	8	08_i-got-blessings-from-heaven.mp3	4066481	83fb895727bc59987ebdbb9a4a532cf7b0934bc688d52cbebe252b86e9374f3f
IX406EN-tiki-s-pirate-fiesta	9	09_heavens-treasure-chest.mp3	4023633	d5afe4d84fc2b84d19dcc82a665692e85d53a0b4474dd21b2256996f70ead710
IX406EN-tiki-s-pirate-fiesta	10	10_blessings-dont-expire.mp3	3626904	aae391afe3dc45126c43fd268f82e442e7072812941861ef8cf3ec942f80cb60
IX406EN-tiki-s-pirate-fiesta	11	11_blessing-parade.mp3	5091283	ce7cbf846db5b006283a4cfc30f82a0daa4a28d62766c2e232e7609a0597ac6b
IX406EN-tiki-s-pirate-fiesta	12	12_the-blessing-beat-drop.mp3	4403601	fd8922691fdc3c909653deefc8207762c1f334a7d0a0779661bc096a22cb373a
IX407EN-fox-s-forest-masquerade	1	01_mask-of-joy.mp3	4605249	2bb1d9246f39febb4260afdc72bdc780df80660677084dd95c4208535cf2c4ae
IX407EN-fox-s-forest-masquerade	2	02_my-whiskers-praise-jesus.mp3	2556635	0727dede3fb778e4643923ffb537eea27600a6c1cc5e364a04ac454321263489
